Date,soy_usd,usdbrl
2010-01-04,1049.5,1.718999981880188
2010-01-05,1052.25,1.7369999885559082
2010-01-06,1050.5,1.7315000295639038
2010-01-07,1017.75,1.7388999462127686
2010-01-08,1013.0,1.7319999933242798
2010-01-11,1001.75,1.7309999465942383
2010-01-12,969.5,1.7373000383377075
2010-01-13,983.5,1.74590003490448
2010-01-14,968.5,1.7640999555587769
2010-01-15,974.0,1.7644000053405762
2010-01-19,963.5,1.7741999626159668
2010-01-20,950.0,1.7894999980926514
2010-01-21,954.0,1.8007999658584595
2010-01-22,951.5,1.8187999725341797
2010-01-25,940.5,1.7834999561309814
2010-01-26,947.5,1.8336000442504883
2010-01-27,929.0,1.8495999574661255
2010-01-28,931.75,1.8680000305175781
2010-01-29,914.0,1.8729000091552734
2010-02-01,909.75,1.8624000549316406
2010-02-02,925.5,1.830399990081787
2010-02-03,908.0,1.850000023841858
2010-02-04,914.0,1.8803999423980713
2010-02-05,913.5,1.882699966430664
2010-02-08,929.5,1.871500015258789
2010-02-09,924.5,1.843000054359436
2010-02-10,937.5,1.850600004196167
2010-02-11,943.0,1.8515000343322754
2010-02-12,945.0,1.8585000038146973
2010-02-16,965.5,1.8424999713897705
2010-02-17,951.5,1.8329999446868896
2010-02-18,948.0,1.819000005722046
2010-02-19,945.0,1.8035000562667847
2010-02-22,961.5,1.8079999685287476
2010-02-23,952.5,1.819599986076355
2010-02-24,955.5,1.818600058555603
2010-02-25,941.5,1.8359999656677246
2010-02-26,951.0,1.805999994277954
2010-03-01,952.5,1.7979999780654907
2010-03-02,954.25,1.7324999570846558
2010-03-03,954.5,1.7879999876022339
2010-03-04,932.5,1.7884999513626099
2010-03-05,934.75,1.777999997138977
2010-03-08,940.5,1.7847000360488892
2010-03-09,941.5,1.781000018119812
2010-03-10,952.0,1.7680000066757202
2010-03-11,925.5,1.7690000534057617
2010-03-12,926.0,1.7610000371932983
2010-03-15,930.0,1.7613999843597412
2010-03-16,945.0,1.7661999464035034
2010-03-17,959.0,1.7619999647140503
2010-03-18,959.5,1.7710000276565552
2010-03-19,961.75,1.7949999570846558
2010-03-22,968.5,1.7990000247955322
2010-03-23,968.0,1.7805999517440796
2010-03-24,960.0,1.7933000326156616
2010-03-25,942.5,1.7990000247955322
2010-03-26,952.0,1.8229999542236328
2010-03-29,967.5,1.808500051498413
2010-03-30,974.0,1.7937999963760376
2010-03-31,941.0,1.780500054359436
2010-04-01,942.0,1.7654000520706177
2010-04-05,936.0,1.7604999542236328
2010-04-06,944.5,1.753000020980835
2010-04-07,952.5,1.7769999504089355
2010-04-08,946.5,1.7730000019073486
2010-04-09,952.25,1.7710000276565552
2010-04-12,960.0,1.7561999559402466
2010-04-13,968.0,1.7135000228881836
2010-04-14,969.0,1.746000051498413
2010-04-15,984.0,1.75
2010-04-16,985.25,1.7561999559402466
2010-04-19,976.75,1.7603000402450562
2010-04-20,984.0,1.752500057220459
2010-04-21,995.5,1.7480000257492065
2010-04-22,1004.25,1.7634999752044678
2010-04-23,1000.0,1.7627999782562256
2010-04-26,998.75,1.74399995803833
2010-04-27,982.75,1.7649999856948853
2010-04-28,982.75,1.7581000328063965
2010-04-29,985.75,1.7309999465942383
2010-04-30,989.5,1.728700041770935
2010-05-03,975.75,1.7309999465942383
2010-05-04,977.0,1.7493000030517578
2010-05-05,968.25,1.7798000574111938
2010-05-06,945.5,1.8341000080108643
2010-05-07,951.25,1.8494999408721924
2010-05-10,952.75,1.774899959564209
2010-05-11,958.25,1.7755000591278076
2010-05-12,959.5,1.7734999656677246
2010-05-13,960.5,1.7699999809265137
2010-05-14,948.0,1.8025000095367432
2010-05-17,941.0,1.8033000230789185
2010-05-18,939.5,1.815999984741211
2010-05-19,938.5,1.829699993133545
2010-05-20,944.0,1.8847999572753906
2010-05-21,941.0,1.8467999696731567
2010-05-24,940.5,1.8622000217437744
2010-05-25,930.5,1.868499994277954
2010-05-26,938.0,1.8630000352859497
2010-05-27,951.75,1.815999984741211
2010-05-28,937.75,1.8142999410629272
2010-06-01,932.0,1.8339999914169312
2010-06-02,932.5,1.8309999704360962
2010-06-03,955.0,1.8193999528884888
2010-06-04,935.0,1.8388999700546265
2010-06-07,935.0,1.8739999532699585
2010-06-08,931.0,1.8600000143051147
2010-06-09,943.5,1.8420000076293945
2010-06-10,935.0,1.8122999668121338
2010-06-11,946.25,1.8115999698638916
2010-06-14,951.5,1.8016999959945679
2010-06-15,949.5,1.784600019454956
2010-06-16,957.75,1.7868000268936157
2010-06-17,952.0,1.7854000329971313
2010-06-18,961.0,1.7723000049591064
2010-06-21,963.25,1.7635999917984009
2010-06-22,965.5,1.7668999433517456
2010-06-23,958.0,1.8011000156402588
2010-06-24,955.5,1.778499960899353
2010-06-25,957.0,1.7799999713897705
2010-06-28,955.0,1.781999945640564
2010-06-29,947.25,1.807800054550171
2010-06-30,948.5,1.7908999919891357
2010-07-01,953.5,1.7989000082015991
2010-07-02,962.75,1.7745000123977661
2010-07-06,964.25,1.7669999599456787
2010-07-07,993.0,1.7649999856948853
2010-07-08,1012.5,1.7683000564575195
2010-07-09,1025.5,1.7563999891281128
2010-07-12,1031.75,1.7599999904632568
2010-07-13,1030.5,1.75600004196167
2010-07-14,1036.0,1.7660000324249268
2010-07-15,1019.0,1.7699999809265137
2010-07-16,1019.5,1.7826000452041626
2010-07-19,1008.0,1.7862999439239502
2010-07-20,1011.75,1.7736999988555908
2010-07-21,1015.25,1.771399974822998
2010-07-22,1016.0,1.760200023651123
2010-07-23,1017.0,1.7604999542236328
2010-07-26,998.25,1.7655999660491943
2010-07-27,998.0,1.760699987411499
2010-07-28,1010.5,1.7623000144958496
2010-07-29,1026.75,1.764799952507019
2010-07-30,1052.5,1.7584999799728394
2010-08-02,1053.25,1.742900013923645
2010-08-03,1053.5,1.7537000179290771
2010-08-04,1053.0,1.7537000179290771
2010-08-05,1055.0,1.7525999546051025
2010-08-06,1059.0,1.753499984741211
2010-08-09,1048.5,1.7074999809265137
2010-08-10,1036.25,1.7510000467300415
2010-08-11,1044.5,1.7599999904632568
2010-08-12,1057.0,1.7684999704360962
2010-08-13,1052.0,1.7663999795913696
2010-08-16,1034.0,1.722000002861023
2010-08-17,1045.25,1.7553999423980713
2010-08-18,1035.25,1.7477999925613403
2010-08-19,1016.75,1.7488000392913818
2010-08-20,1009.25,1.760599970817566
2010-08-23,1007.0,1.7128000259399414
2010-08-24,999.5,1.761299967765808
2010-08-25,1000.0,1.7609000205993652
2010-08-26,1013.0,1.7648999691009521
2010-08-27,1022.0,1.7562999725341797
2010-08-30,1018.0,1.6992000341415405
2010-08-31,1008.0,1.7549999952316284
2010-09-01,1004.5,1.750100016593933
2010-09-02,1007.5,1.7400000095367432
2010-09-03,1029.75,1.7395000457763672
2010-09-07,1043.75,1.7249000072479248
2010-09-08,1041.25,1.7300000190734863
2010-09-09,1037.75,1.7192000150680542
2010-09-10,1023.5,1.7231999635696411
