Date,soy_usd,usdbrl,beta,predicted,residual,z_score,signal,position,days_held
2010-01-04,1049.5,1.718999981880188,,,,,0,0,0
2010-01-05,1052.25,1.7369999885559082,,,,,0,0,0
2010-01-06,1050.5,1.7315000295639038,,,,,0,0,0
2010-01-07,1017.75,1.7388999462127686,,,,,0,0,0
2010-01-08,1013.0,1.7319999933242798,,,,,0,0,0
2010-01-11,1001.75,1.7309999465942385,,,,,0,0,0
2010-01-12,969.5,1.7373000383377075,,,,,0,0,0
2010-01-13,983.5,1.74590003490448,,,,,0,0,0
2010-01-14,968.5,1.7640999555587769,,,,,0,0,0
2010-01-15,974.0,1.7644000053405762,,,,,0,0,0
2010-01-19,963.5,1.7741999626159668,,,,,0,0,0
2010-01-20,950.0,1.7894999980926514,,,,,0,0,0
2010-01-21,954.0,1.8007999658584597,,,,,0,0,0
2010-01-22,951.5,1.81879997253418,,,,,0,0,0
2010-01-25,940.5,1.7834999561309814,,,,,0,0,0
2010-01-26,947.5,1.8336000442504885,,,,,0,0,0
2010-01-27,929.0,1.8495999574661253,,,,,0,0,0
2010-01-28,931.75,1.868000030517578,,,,,0,0,0
2010-01-29,914.0,1.8729000091552732,,,,,0,0,0
2010-02-01,909.75,1.8624000549316408,,,,,0,0,0
2010-02-02,925.5,1.830399990081787,,,,,0,0,0
2010-02-03,908.0,1.850000023841858,,,,,0,0,0
2010-02-04,914.0,1.8803999423980715,,,,,0,0,0
2010-02-05,913.5,1.882699966430664,,,,,0,0,0
2010-02-08,929.5,1.871500015258789,,,,,0,0,0
2010-02-09,924.5,1.843000054359436,,,,,0,0,0
2010-02-10,937.5,1.850600004196167,,,,,0,0,0
2010-02-11,943.0,1.8515000343322756,,,,,0,0,0
2010-02-12,945.0,1.8585000038146973,,,,,0,0,0
2010-02-16,965.5,1.8424999713897705,,,,,0,0,0
2010-02-17,951.5,1.8329999446868896,,,,,0,0,0
2010-02-18,948.0,1.819000005722046,,,,,0,0,0
2010-02-19,945.0,1.803500056266785,,,,,0,0,0
2010-02-22,961.5,1.807999968528748,,,,,0,0,0
2010-02-23,952.5,1.819599986076355,,,,,0,0,0
2010-02-24,955.5,1.818600058555603,,,,,0,0,0
2010-02-25,941.5,1.8359999656677248,,,,,0,0,0
2010-02-26,951.0,1.805999994277954,,,,,0,0,0
2010-03-01,952.5,1.7979999780654907,,,,,0,0,0
2010-03-02,954.25,1.7324999570846558,,,,,0,0,0
2010-03-03,954.5,1.787999987602234,,,,,0,0,0
2010-03-04,932.5,1.78849995136261,,,,,0,0,0
2010-03-05,934.75,1.777999997138977,,,,,0,0,0
2010-03-08,940.5,1.7847000360488892,,,,,0,0,0
2010-03-09,941.5,1.781000018119812,,,,,0,0,0
2010-03-10,952.0,1.7680000066757202,,,,,0,0,0
2010-03-11,925.5,1.7690000534057615,,,,,0,0,0
2010-03-12,926.0,1.7610000371932983,,,,,0,0,0
2010-03-15,930.0,1.7613999843597412,,,,,0,0,0
2010-03-16,945.0,1.7661999464035034,,,,,0,0,0
2010-03-17,959.0,1.7619999647140503,,,,,0,0,0
2010-03-18,959.5,1.7710000276565552,,,,,0,0,0
2010-03-19,961.75,1.7949999570846558,,,,,0,0,0
2010-03-22,968.5,1.7990000247955322,,,,,0,0,0
2010-03-23,968.0,1.7805999517440796,,,,,0,0,0
2010-03-24,960.0,1.7933000326156616,,,,,0,0,0
2010-03-25,942.5,1.7990000247955322,,,,,0,0,0
2010-03-26,952.0,1.8229999542236328,,,,,0,0,0
2010-03-29,967.5,1.808500051498413,,,,,0,0,0
2010-03-30,974.0,1.7937999963760376,,,,,0,0,0
2010-03-31,941.0,1.780500054359436,,,,,0,0,0
2010-04-01,942.0,1.7654000520706177,,,,,0,0,0
2010-04-05,936.0,1.7604999542236328,,,,,0,0,0
2010-04-06,944.5,1.753000020980835,,,,,0,0,0
